Model,Accuracy,Precision,Recall,F1 Score
CatBoost,0.5482800728178769,0.5550501513778752,0.5482800728178769,0.5503675118838574
LightGBM,0.5563702328833592,0.5619389633135566,0.5563702328833592,0.5582841668977963
RandomForest,0.5484381081188607,0.5571942205058075,0.5484381081188607,0.5505094062543481
SVM,0.5346596297041002,0.5476870582699321,0.5346596297041002,0.5382252860180109
XGBoost,0.5557382240038414,0.5618554272281537,0.5557382240038414,0.5577932616215321
