Feature,Correlation,Importance
user_id,-0.0063194558260355116,0.0063194558260355116
quality,-0.036716712837244966,0.036716712837244966
bust,0.13302197056950366,0.13302197056950366
hips,0.5690171301097513,0.5690171301097513
bra size,0.7373883105825103,0.7373883105825103
waist,,
shoe size,,
